key,0,2,8,9
#,Singular,Plural,Description,Name
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,金幣,,艾歐澤亞流通最為廣泛的圓形國際都市通用貨幣。,金幣
2,火之碎晶,,火媒介的小結晶。,火之碎晶
3,冰之碎晶,,冰媒介的小結晶。,冰之碎晶
4,風之碎晶,,風媒介的小結晶。,風之碎晶
5,土之碎晶,,土媒介的小結晶。,土之碎晶
6,雷之碎晶,,雷媒介的小結晶。,雷之碎晶
7,水之碎晶,,水媒介的小結晶。,水之碎晶
8,火之水晶,,火媒介的結晶。,火之水晶
9,冰之水晶,,冰媒介的結晶。,冰之水晶
10,風之水晶,,風媒介的結晶。,風之水晶
11,土之水晶,,土媒介的結晶。,土之水晶
12,雷之水晶,,雷媒介的結晶。,雷之水晶
13,水之水晶,,水媒介的結晶。,水之水晶
14,火之晶簇,,火媒介的樹狀結晶。,火之晶簇
15,冰之晶簇,,冰媒介的樹狀結晶。,冰之晶簇
16,風之晶簇,,風媒介的樹狀結晶。,風之晶簇
17,土之晶簇,,土媒介的樹狀結晶。,土之晶簇
18,雷之晶簇,,雷媒介的樹狀結晶。,雷之晶簇
19,水之晶簇,,水媒介的樹狀結晶。,水之晶簇
20,黑渦團軍票,,利姆薩·羅敏薩所屬大國防聯軍「黑渦團」所發行的軍票，能夠交換軍裝及軍需品。,黑渦團軍票
21,雙蛇黨軍票,,格里達尼亞所屬大國防聯軍「雙蛇黨」所發行的軍票，能夠交換軍裝及軍需品。,雙蛇黨軍票
22,恆輝隊軍票,,烏爾達哈所屬大國防聯軍「恆輝隊」所發行的軍票，能夠交換軍裝及軍需品。,恆輝隊軍票
23,亞拉戈哲學神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於哲學的內容。,亞拉戈哲學神典石
24,亞拉戈神話神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於神話的內容。,亞拉戈神話神典石
25,狼印戰績,,大國防聯軍之間通用的戰績票。<hex:02100103>可以在狼獄水上競技場換取兵裝和軍用品。,狼印戰績
26,亞拉戈戰記神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於戰記的內容。,亞拉戈戰記神典石
27,同盟徽章,,艾歐澤亞城邦軍事同盟所發行的紀念徽章，是怪物狩獵成功的證明。,同盟徽章
28,亞拉戈詩學神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於詩學的內容。,亞拉戈詩學神典石
29,金碟幣,,金碟遊樂場中專用的代幣。上面刻有戈德伯特·曼德維爾的側面像。,金碟幣
30,亞拉戈法典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於法典的內容。,亞拉戈法典神典石
31,亞拉戈禁書神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於禁書的內容。,亞拉戈禁書神典石
32,亞拉戈傳承神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於傳承的內容。,亞拉戈傳承神典石
33,亞拉戈聖典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於聖典的內容。,亞拉戈聖典神典石
34,亞拉戈真理神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於真理的內容。,亞拉戈真理神典石
35,亞拉戈萬物神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於萬物的內容。,亞拉戈萬物神典石
36,亞拉戈虛構神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了各種虛構的內容。,亞拉戈虛構神典石
37,亞拉戈創世神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於創世的內容。,亞拉戈創世神典石
38,亞拉戈魔典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於魔典的內容。,亞拉戈魔典神典石
39,亞拉戈幻想神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於幻想的內容。,亞拉戈幻想神典石
40,亞拉戈奇譚神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於奇譚的內容。,亞拉戈奇譚神典石
41,亞拉戈默示神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於默示的內容。,亞拉戈默示神典石
42,亞拉戈經典神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於經典的內容。,亞拉戈經典神典石
43,亞拉戈天文神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於天文的內容。,亞拉戈天文神典石
44,亞拉戈因果神典石,,古代亞拉戈帝國用於進行記錄的奇妙石頭。上面記載了關於因果的內容。,亞拉戈因果神典石
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,過期青銅步兵劍,,,過期青銅步兵劍
101,過期青銅小刀,,,過期青銅小刀
102,過期青銅騎兵劍,,,過期青銅騎兵劍
103,過期失明小刀,,,過期失明小刀
104,過期靜寂小刀,,,過期靜寂小刀
105,過期黃銅步兵劍,,,過期黃銅步兵劍
106,過期黃銅小刀,,,過期黃銅小刀
107,過期麻痺小刀,,,過期麻痺小刀
108,過期昏睡小刀,,,過期昏睡小刀
109,過期梣木石刃棒,,,過期梣木石刃棒
110,過期黑鐵步兵劍,,,過期黑鐵步兵劍
111,過期黑鐵小刀,,,過期黑鐵小刀
112,過期黑鐵騎兵劍,,,過期黑鐵騎兵劍
113,過期狂熱小刀,,,過期狂熱小刀
114,過期出血小刀,,,過期出血小刀
115,過期榆木石刃棒,,,過期榆木石刃棒
116,過期蜂蠟騎兵劍,,,過期蜂蠟騎兵劍
117,過期黑鐵彎刃刀,,,過期黑鐵彎刃刀
118,過期黑鐵短劍,,,過期黑鐵短劍
119,過期胡桃石刃棒,,,過期胡桃石刃棒
120,過期黑鐵長劍,,,過期黑鐵長劍
121,過期鋸齒彎刃刀,,,過期鋸齒彎刃刀
122,過期白羽橡木石刃棒,,,過期白羽橡木石刃棒
123,過期橡木石刃棒,,,過期橡木石刃棒
124,過期獸骨骨拳,,,過期獸骨骨拳
125,過期水牛護拳,,,過期水牛護拳
126,過期青銅指虎,,,過期青銅指虎
127,過期渡渡鳥鋼拳,,,過期渡渡鳥鋼拳
128,過期黃銅指虎,,,過期黃銅指虎
129,過期龜甲骨拳,,,過期龜甲骨拳
130,過期蟾蜍鋼拳,,,過期蟾蜍鋼拳
131,過期鐵甲指虎,,,過期鐵甲指虎
132,過期野豬護拳,,,過期野豬護拳
133,過期黑鐵虎爪,,,過期黑鐵虎爪
134,過期蟹甲骨拳,,,過期蟹甲骨拳
135,過期窒息虎爪,,,過期窒息虎爪
136,過期停心虎爪,,,過期停心虎爪
137,過期毒蜥蜴革鋼拳,,,過期毒蜥蜴革鋼拳
138,過期翡翠護拳,,,過期翡翠護拳
139,過期青銅戰斧,,,過期青銅戰斧
140,過期青銅雙刃斧,,,過期青銅雙刃斧
141,過期青銅刺柄雙刃斧,,,過期青銅刺柄雙刃斧
142,過期風暴戰斧,,,過期風暴戰斧
143,過期黑鐵戰斧,,,過期黑鐵戰斧
144,過期黑鐵雙刃斧,,,過期黑鐵雙刃斧
145,過期黑鐵刺柄雙刃斧,,,過期黑鐵刺柄雙刃斧
146,過期業火戰斧,,,過期業火戰斧
147,過期黑鐵長刃斧,,,過期黑鐵長刃斧
148,過期青銅巨斧,,,過期青銅巨斧
149,過期黑鐵鉤斧,,,過期黑鐵鉤斧
150,過期雷暴戰斧,,,過期雷暴戰斧
151,過期雕紋長刃斧,,,過期雕紋長刃斧
152,過期青銅長槍,,,過期青銅長槍
153,過期獸骨漁槍,,,過期獸骨漁槍
154,過期犬牙漁槍,,,過期犬牙漁槍
155,過期黃銅長槍,,,過期黃銅長槍
156,過期黑鐵長槍,,,過期黑鐵長槍
157,過期黑鐵騎槍,,,過期黑鐵騎槍
158,過期龜甲漁槍,,,過期龜甲漁槍
159,過期黑鐵戰戈,,,過期黑鐵戰戈
160,過期黑鐵戰叉,,,過期黑鐵戰叉
161,過期黑鐵重騎槍,,,過期黑鐵重騎槍
162,過期蟹甲漁槍,,,過期蟹甲漁槍
163,過期貴族戰戈,,,過期貴族戰戈
164,過期方旗騎槍,,,過期方旗騎槍
165,過期黑鐵戰戟,,,過期黑鐵戰戟
166,過期柳木短弓,,,過期柳木短弓
167,過期楓木長弓,,,過期楓木長弓
168,過期榆木短弓,,,過期榆木短弓
169,過期雪松騎兵弓,,,過期雪松騎兵弓
170,過期革裝楓木長弓,,,過期革裝楓木長弓
171,過期白羽柳木短弓,,,過期白羽柳木短弓
172,過期柳木複合弓,,,過期柳木複合弓
173,過期黑鐵騎兵弓,,,過期黑鐵騎兵弓
174,過期梣木長弓,,,過期梣木長弓
