key,0
#,Name
offset,0
int32,str
262144,
262145,
262151,道具交易
262152,拉拉菲爾服裝交易
262153,魯加服裝交易
262154,精靈服裝交易
262155,人族服裝交易
262156,貓魅服裝交易
262157,
262158,道具交易
262159,拉拉菲爾服裝交易
262160,魯加服裝交易
262161,精靈服裝交易
262162,人族服裝交易
262163,貓魅服裝交易
262164,道具交易
262165,拉拉菲爾服裝交易
262166,魯加服裝交易
262167,精靈服裝交易
262168,人族服裝交易
262169,貓魅服裝交易
262170,
262171,
262172,
262173,
262174,
262175,
262176,
262177,
262178,戰鬥飾品交易
262179,作業飾品交易
262180,
262181,道具交易
262182,
262183,工具交易
262184,武器交易
262185,
262186,戰鬥防具交易
262187,作業防具交易
262188,戰鬥飾品交易
262189,作業飾品交易
262190,
262191,道具交易
262192,
262193,工具交易
262194,武器交易
262195,戰鬥防具交易
262196,作業防具交易
262197,
262198,戰鬥飾品交易
262199,作業飾品交易
262200,
262201,道具交易
262202,
262203,工具交易
262204,武器交易
262205,戰鬥防具交易
262206,作業防具交易
262207,
262208,
262209,武器交易
262210,
262211,
262212,戰鬥飾品交易
262213,戰鬥防具交易
262214,作業防具交易
262215,武器交易
262216,工具交易
262217,武器交易
262218,戰鬥防具交易
262219,作業防具交易
262221,工具交易
262222,武器交易
262223,戰鬥防具交易
262224,作業防具交易
262225,工具交易
262226,武器交易
262227,戰鬥防具交易
262228,作業防具交易
262229,工具交易
262230,武器交易
262231,戰鬥防具交易
262232,作業防具交易
262233,工具交易
262234,武器交易
262235,戰鬥防具交易
262236,作業防具交易
262237,工具交易
262238,武器交易
262239,戰鬥防具交易
262240,作業防具交易
262241,工具交易
262242,武器交易
262243,戰鬥防具交易
262244,作業防具交易
262245,工具交易
262246,武器交易
262247,戰鬥防具交易
262248,作業防具交易
262249,工具交易
262250,武器交易
262251,戰鬥防具交易
262252,作業防具交易
262253,工具交易
262254,武器交易
262255,戰鬥防具交易
262256,作業防具交易
262257,
262258,工具交易
262259,武器交易
262260,戰鬥防具交易
262261,作業防具交易
262262,工具交易
262263,武器交易
262264,戰鬥防具交易
262265,作業防具交易
262266,工具交易
262267,武器交易
262268,戰鬥防具交易
262269,作業防具交易
262270,武器交易
262271,工具交易
262272,戰鬥防具交易
262273,作業防具交易
262274,工具交易
262275,武器交易
262276,戰鬥防具交易
262277,作業防具交易
262278,武器交易
262279,工具交易
262280,戰鬥防具交易
262281,作業防具交易
262282,工具交易
262283,武器交易
262284,戰鬥防具交易
262285,作業防具交易
262286,武器交易
262287,工具交易
262288,戰鬥防具交易
262289,作業防具交易
262290,工具交易
262291,武器交易
262292,戰鬥防具交易
262293,作業防具交易
262294,工具交易
262295,武器交易
262296,戰鬥防具交易
262297,作業防具交易
262298,工具交易
262299,武器交易
262300,戰鬥防具交易
262301,作業防具交易
262302,工具交易
262303,武器交易
262304,戰鬥防具交易
262305,作業防具交易
262306,工具交易
262307,武器交易
262308,戰鬥防具交易
262309,作業防具交易
262310,工具交易
262311,武器交易
262312,戰鬥防具交易
